overall,functionality,code_quality,testing,execution,documentation,dependencies,security,vcs
0,,0,0,0,0,0,0,0
88,,93,80,87,78,97,88,90
77.38,0,89,86,94,86,97,82,95
77,0,88,86,90,82,97,88,88
87,,76,88,90,80,96,86,93
79,13,82,86,90,80,100,92,88
87,,89,84,93,68,97,88,92
77.375,13,82,90,88,88,98,90,88
83,25,92,86,95,88,98,90,88
81,38,82,86,90,82,96,90,83
88,38,92,92,88,88,97,88,93
89,,78,90,92,93,97,82,94
85,38,94,93,90,92,97,88,90
84,38,93,86,91,94,97,86,88
83.5,38,88,90,92,90,98,88,84
89,63,88,93,94,96,97,88,92
89,75,93,93,92,88,98,86,88
90,63,96,96,92,93,100,90,88
78,,93,94,90,83,97,90,0
26,,0,0,93,0,0,0,88
90,,82,93,94,92,96,90,88
73,,71,95,92,82,88,86,0
86,,94,96,93,82,84,90,65
87,,93,96,93,82,88,88,72
88,75,90,94,94,88,82,94,90
88,75,93,96,88,86,82,92,90
88,75,94,96,93,84,84,90,90
88,75,94,96,90,82,85,92,90
91,88,95,94,94,82,85,92,90
92,100,93,95,95,89,82,90,90
91,88,92,95,95,82,97,88,90
93,88,94,94,94,96,96,92,90
91,100,80,96,94,82,99,88,90
94,100,92,96,95,88,97,92,90
93,88,93,97,96,89,98,92,90
92,88,96,96,95,84,98,92,90
95,100,94,96,94,95,97,93,90
93,88,94,96,94,95,98,88,90
94,100,96,95,92,88,98,94,90
